Place ID,Name,Summary,Price Level,Address,Latitude,Longitude,Overall Rating,Opening Hours,Total Reviews,Reviews,Review Ratings
ChIJgVEdThRQqEcRSOFGvzG1HJY,PapalaCup,"Relaxed choice with a retro ambiance serving comfort brunch classics, plus sandwiches & schnitzels.",2,"Gotenstraße 55, Berlin-Bezirk Tempelhof-Schöneberg",52.47983699999999,13.3604371,4.7,"Monday: Closed, Tuesday: 9:00 AM – 5:00 PM, Wednesday: 9:00 AM – 5:00 PM, Thursday: 9:00 AM – 5:00 PM, Friday: 9:00 AM – 5:00 PM, Saturday: 9:00 AM – 5:00 PM, Sunday: 9:00 AM – 5:00 PM",656,"['First time trying this place, very positive impressed! We liked everything: good quality food, cozy atmosphere, very prompt and friendly staff. Totally recommend it and would definitely come back!\nThank you! And keep up the good work!', 'Loved breakfast here. Great service as well as good food. I would definitely come back again.', 'Literally cannot fault this place. Service was above and beyond, breakfast was amazing, and the cheesecake truly rivalled a NYC NY cheesecake.\n\nPablo was also a treat❤️🐶']","[5, 5, 5]"
ChIJA4aYMRFQqEcRH6uBnGsZCsk,Burger King,"Well-known fast-food chain serving grilled burgers, fries & shakes.",2,"General-Pape-Straße 1, Berlin",52.47645310000001,13.3647843,2.9,"Monday: 10:00 AM – 11:00 PM, Tuesday: 10:00 AM – 11:00 PM, Wednesday: 10:00 AM – 11:00 PM, Thursday: 10:00 AM – 11:00 PM, Friday: 10:00 AM – 11:00 PM, Saturday: 10:00 AM – 11:00 PM, Sunday: 10:00 AM – 11:00 PM",922,"['Well packed take away and friendly staff.\n\nI had a take away meal and it’s well packed.\n\nThe staff there was very friendly and nice.\n\nThe burgers tasted just like usual, nice whoppers!', 'The kassen were not working, apparently workers are lazy. The self service machines were also out of order, only 2 out of 4 works', 'Ordered two double whopper menus and received two out of four burgers and the wrong sauce... great place']","[4, 1, 1]"
ChIJy3vdsCROqEcRN_KQfhojoAM,Ming Dynastie Jannowitzbrücke Berlin,"Chinese restaurant with a wood-paneled dining room, dark wood tables & seasonal riverside terrace.",2,"Brückenstraße 6, Berlin",52.5136645,13.4184597,4.5,"Monday: 12:00 – 9:30 PM, Tuesday: 12:00 – 10:00 PM, Wednesday: 12:00 – 10:00 PM, Thursday: 12:00 – 10:00 PM, Friday: 12:00 – 10:00 PM, Saturday: 12:00 – 10:00 PM, Sunday: 12:00 – 9:30 PM",3237,"['I think this restaurant is better southern Chinese cuisine such as dim sum. We ordered spicy- sour fish which is a typical sichuan dish, and it is not so great.\nHowever the eggplant is excellent.\nPotato is so so.\nService is great, food comes rather quickly and waiters are friendly.', 'Yang Zhou : The complete fried rice and the best one in Berlin.\nWhat I like the most about it is, it’s not greasy at all unlike the fried rice at every other Asian place.\nThe right amount of seasoning and a fulfilling perfect meal.\nMust try at both their centres.', 'As an Indian, i always love to try food from different cultures and countries, so while doing a project management course, our project was to visit different restaurants, according to me, the food they served was sooo good, mainly, fried noodles, rice, rind(beef). M. Zwiebeln was so good, chicken with gong bao was also soo good, and also we had a Chinese beer, with different taste from our normal Berliner kindly 😜, although it was so fun, only the cons are that the waiters have a kind of attitude, also not responding much to our requirements.... Apart from that everything was cool 😎']","[4, 5, 4]"
ChIJ8dE5ZzlOqEcRSOv8JF88prM,Katerschmaus,"Stylishly presented grilled meats & fish dishes, plus Spree River views from outside tables.",3,"Holzmarktstraße 25, Berlin-Bezirk Friedrichshain-Kreuzberg",52.5111713,13.4266565,4.3,"Monday: 12:00 – 3:00 PM, 6:00 – 10:00 PM, Tuesday: 12:00 – 3:00 PM, 6:00 – 10:00 PM, Wednesday: 12:00 – 3:00 PM, 6:00 – 10:00 PM, Thursday: 12:00 – 3:00 PM, 6:00 – 10:00 PM, Friday: 12:00 – 3:00 PM, 6:00 – 10:00 PM, Saturday: 1:00 – 5:00 PM, 6:00 – 10:00 PM, Sunday: 2:00 – 8:00 PM",1135,"[""we didn't have a reservation, luckily we found two tables.\nvery nice place, full of details, staff always attentive to the customer.\nI can say that in addition to the location and the staff, we were super enthusiastic about the food. Placing, flavours, contrasts, colours, super, everything was to our liking. I want to give an extra point to the octopus, I rarely eat such a well cooked octopus.\nWill be back and highly recommended"", 'Totally unique experience. Setting is beautiful right on the river, food is delicious and one of a kind, and the service is warm and kind and welcoming. Two of us went for dinner and had oyster mushrooms (in oyster shells), octopus with lentils, and gorgeous steak.\nThe restaurant is set in a fun and lively outdoor social area, super fun hangout for the warm months.', 'Very nice restaurant. Bit pricy, rather small portions but good taste. Would recommend it anyway. Good place to be in, also the area around is quite cool to explore🙂']","[5, 5, 4]"
ChIJSTDULz9OqEcR1zoGQzd7sCI,Trattoria La Bruschetta,"Comfortable restaurant specializing in classic Italian dishes, including pasta & pizza.",2,"Andreasstraße 66, Berlin-Bezirk Friedrichshain-Kreuzberg",52.5133985,13.4310849,4.7,"Monday: 12:00 – 11:00 PM, Tuesday: 12:00 – 11:00 PM, Wednesday: 12:00 – 11:00 PM, Thursday: 12:00 – 11:00 PM, Friday: 12:00 – 11:00 PM, Saturday: 4:00 – 11:00 PM, Sunday: 4:00 – 11:00 PM",1564,"['This is a perfect restaurant. The food is just perfect. The waiters helps you by choosing and explains the differences. The waiters are all Italian and love to tell about their home place. Service is perfect. When you buy a bottle, and your glass is empty, they refill for you. But before they refill the glass for my girlfriend they ask if it is ok to do so. Typical Italian! Decorations is just perfect. You better make a reservation, it can get full very quickly. Its not a big restaurant, what i like cause it has more athmosphere. You just want to go here if you are in Berlin', 'I had dinner twice at this restaurant. I tasted Pizza, Pasta, Tiramisu, Wine, and Espresso. Those were quite delicious and thanks, I\'d just say 4 out of 5.\n\nThe drawback: If you\'re alone at the dinner, the service is reduced apparently. The waiter also didn\'t even look at the table or at me when I order sth. Imagine, people look at each other\'s eyes when they toss beer and say ""prost!"". Afterwards, the same waiter went to the other table 4 and even made a welcoming small talk.\n\nIf the bill is important to have a warm attitude, I already paid 28 Euros for pasta, wine and tiramisu. Probably almost 1.5 times more than a usual table with 1 person at this restaurant.\n\nAttitude is as important as the taste of the food. I don\'t think I will visit this place again.', 'Super nice food and kind staff. Definitely try the bruschetta and tiramisu!\nThe pasta is homemade, so that’s really great.']","[5, 3, 5]"
ChIJFxPPLTtOqEcRW0pv18EM6gs,Tasty,"Unpretentious venue with sidewalk tables, prepping Italian classics such as pizza & pasta.",2,"Rungestraße 14, Berlin",52.51219570000001,13.4182855,4.5,"Monday: 11:00 AM – 9:30 PM, Tuesday: 11:00 AM – 9:30 PM, Wednesday: 11:00 AM – 9:30 PM, Thursday: 11:00 AM – 9:30 PM, Friday: 11:00 AM – 9:30 PM, Saturday: 12:00 – 9:30 PM, Sunday: 12:00 – 9:30 PM",350,"[""Decent.  NOT a neapolitan style pizza, just the average pizza you get everywhere because that's what the Germans want. Bit disappointed, a real italian can do better."", 'So good. I wish I took pictures but forgot. Two guys working were so nice and patient with me placing a to go order. I had caprese, tiramisu, margarita pizza (heads up international folks - just a cheese pizza), and the penne fungi pollo or something like that. All were phenomenal. Tiramisu feels like someone’s grandma made it. Just so good. 10/10\n\nAlso the space has great lighting and lots of windows! Sat at a table while waiting for my food.', 'Not great, not terrible. Food is just okayish, and I would not label it Italian. Stylised as Italian - this is a more accurate description. More a canteen than a proper restaurant. Service is very nice and this is the biggest plus. No alcoholic beverages is unfortunately  also a downside.']","[3, 5, 3]"
ChIJtTXiYzlOqEcR7JQ6fV-DRLA,Holzmarkt 25,"Park known for its riverside views, dotted with bohemian bars & food stands for pizzas or burgers.",2,"Holzmarktstraße 25, Berlin-Bezirk Friedrichshain-Kreuzberg",52.5113137,13.4268387,4.6,None,9962,"[""What a great place to hang out for a few hours! The only thing I'll say is that some of the staff cam across like they could not be bothered being nice or in fact engaging but all in all at very interesting place to sit by the river or just chill with our friends.\n\nGreat selection of food, drinks and all outdoors.\n\nGreat fun!"", ""We absolutely loved this place. It has a unique charm that's hard to find elsewhere. It's the perfect spot to grab a drink and watch the sunset near the water.\n\nThe variety of food and drinks is impressive, with options ranging from pizzas and bread to Peruvian, Mexican, Indian, and Taiwanese cuisine. They offer both alcoholic and non-alcoholic beverages. The hygiene of the toilets is acceptable.\n\nYou can even get a tattoo on site, adding to the unique experience. With so many options available, you're guaranteed to have a great time here, especially with good company."", 'The most incredible atmosphere I’ve experienced in a market. The selection of cuisines was endless and there were lots of places to sit. Prices were reasonable and the food was delivered relatively quickly. There was even a small park for the kids to play in. The best part about this was definitely the waterside seating where you can sit right at the lake and watch the sunset (if you want to guarantee your spot to do so, I recommend going early as it gets busy VERY quickly).']","[5, 5, 5]"
ChIJXZoV2GBPqEcRp70Md1mqDZY,Wurstpate,Offbeat window-serve snack stand doling out hot dogs & currywurst with a homemade sauce.,1,"Köpenicker Straße 58, Berlin",52.5098602,13.4215408,4.4,"Monday: 7:00 AM – 10:30 PM, Tuesday: 7:00 AM – 10:30 PM, Wednesday: 7:00 AM – 10:30 PM, Thursday: 7:00 AM – 10:30 PM, Friday: 7:00 AM – 12:00 AM, Saturday: 12:00 – 6:30 AM, 12:00 PM – 12:00 AM, Sunday: 12:00 – 6:30 AM, 12:00 – 10:30 PM",648,"['With lots of curry wurst options across Berlin, I wanted to try a more authentic place and this was it. It was popular too so knew it would be good.  Very tasty!', 'Wurstpate perfectly embodies the idea of Berlin street food! Excellent prices, very good food and kind service. The Kettwurst definitely deserves a shot!', 'Best place I had curry wurst when I was traveling in Berlin. Was walking back from the East Gallery when my nose caught the smell of some good food. Small tented area to sit down at and some stand up tables. Cash only here.']","[5, 5, 5]"
ChIJnZe8ZU1QqEcRWt-ObPsWxq0,Restaurant Ambrosius,"Unpretentious German dishes, plus breakfast, in a wood-lined, country-style dining room.",2,"Karl-Heinrich-Ulrichs-Straße 14, Berlin",52.5024804,13.3535383,4.2,"Monday: 11:00 AM – 11:00 PM, Tuesday: 11:00 AM – 11:00 PM, Wednesday: 11:00 AM – 11:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 12:00 – 11:00 PM, Sunday: 12:00 – 11:00 PM",844,"['Amazing authentic German restaurant! This little gem was just around the corner from our hotel, we decided to give it a try. It\'s 30 degrees Celsius in Berlin today and there\'s no A/C inside so we had to sit on the patio, but it was lovely atmosphere out there.\n\nServer\'s English was ""not so gut"" (his words) but they had an English menu so it was all workable with our ""not so gut"" German. The rest of the family had various schnitzels (yum!) and I had the turkey steak with pepper sauce (super yum!), even though there\'s hundreds of restaurants in Berlin we\'re already talking about coming back again. Absolutely excellent!', 'If you desire traditional German cuisine in a warm, inviting environment, this is the place to visit. They have a seasonal menu as well as a standard menu in multiple languages. I had the goulash to start and the pork knuckle as the main. The food is delicious and the servings are large.\n\nThe staff is welcoming and friendly. It felt more like a family environment and we will be back!', ""Stayed in a nearby hotel and managed to steal some me-time from an otherwise hectic programme. A positive review of their pork knuckle caught my attention. I must say that this is probably the best pork knuckle I've had. The flesh was amazingly tender even though it looked dry. The red cabbage was just the right level of sweetness and sour, while the dumplings were lighter than the usual. Everything came together well. Managed to finished everything, except for an inch of crackling which would have tipped me over the edge! Well worth a try if you are nearby, and possibly even a detour to enjoy both the quality of the meal and the warm service.""]","[5, 5, 4]"
ChIJ7cp1RCxQqEcRd34ZqFtq-N4,Taverna Athene,"Moussaka, gyros & classic meaty grills at a simple, family-run dining room with sidewalk tables.",2,"Tempelhofer Ufer 12, Berlin-Bezirk Friedrichshain-Kreuzberg",52.49822700000001,13.385409,4.6,"Monday: Closed, Tuesday: 5:00 – 11:45 PM, Wednesday: 5:00 – 11:45 PM, Thursday: 5:00 – 11:45 PM, Friday: 5:00 – 11:45 PM, Saturday: 5:00 – 11:45 PM, Sunday: 5:00 – 11:45 PM",2518,"['Yamas! Took my friends whom were visiting Berlin and we had a really fun evening here. Overall dining experience was excellent. The atmosphere is low key elegant and dimly lit. It’s family owned so the space and service provides a intimate yet personal touch.\n\nFood quality portion and size + value were all very good. Star dishes: grilled anchovies, walnut cake, moussaka.\n\nHighly recommend if you love Greek food and Ouzo.', 'The food was amazing, musaka and mixed plate were absolutely great, one of the best greek restaurants we have been to. Staff is very kind and service is really good and fast.', ""I had a great experience overall at this restaurant. The food was delicious, and the atmosphere was enjoyable. If you're looking to try tasty Greek dishes, it's definitely worth a visit. However, the only downside was when we tried to pay with a card. The waiter seemed reluctant and was unwilling to split the total amount, so we had to figure it out ourselves. It was a bit disappointing, as the reason for this behavior was unclear.""]","[5, 5, 3]"
